date|datetime_friendly|user_id|page_name|content_name|Video Start|Video Completes|Video 25%|Video 50%|Video 75%|Audio Start|Audio Completes|Audio 25%|Audio 50%|Audio 75%|platform|market
2022-01-12|Wed. 12 Jan. 2022|7e5b58a9-3725-42ce-9399-771adaecdf0b|::unspecified::|Stretches for back pain (5 min)|1|0|0|0|0|0.0|0.0|0.0|0.0|0.0|Web|US
2022-01-12|Wed. 12 Jan. 2022|7e5b58a9-3725-42ce-9399-771adaecdf0b|::unspecified::|Yoga for neck and shoulders (5 min)|1|0|0|0|0|0.0|0.0|0.0|0.0|0.0|Web|US
2022-01-12|Wed. 12 Jan. 2022|7e5b58a9-3725-42ce-9399-771adaecdf0b|::unspecified::|The need to sleep (10 min)|1|0|0|0|0|0.0|0.0|0.0|0.0|0.0|Web|US
2022-01-12|Wed. 12 Jan. 2022|7e5b58a9-3725-42ce-9399-771adaecdf0b|::unspecified::|Sunrise (5 min)|1|0|0|0|0|0.0|0.0|0.0|0.0|0.0|Web|US
2022-01-12|Wed. 12 Jan. 2022|7e5b58a9-3725-42ce-9399-771adaecdf0b|::unspecified::|Butt workout (5 min)|1|0|0|0|0|0.0|0.0|0.0|0.0|0.0|Web|US
2022-01-12|Wed. 12 Jan. 2022|7e5b58a9-3725-42ce-9399-771adaecdf0b|::unspecified::|Offer lovingkindness to yourself (8 min)|1|0|0|0|0|0.0|0.0|0.0|0.0|0.0|Web|US
2022-01-12|Wed. 12 Jan. 2022|7e5b58a9-3725-42ce-9399-771adaecdf0b|::unspecified::|Breathing meditation to calm yourself in the moment (9 min)|1|0|0|0|0|0.0|0.0|0.0|0.0|0.0|Web|US
2022-01-12|Wed. 12 Jan. 2022|7e5b58a9-3725-42ce-9399-771adaecdf0b|::unspecified::|New day (15 min)|1|0|0|0|0|0.0|0.0|0.0|0.0|0.0|Web|US
2022-01-12|Wed. 12 Jan. 2022|7e5b58a9-3725-42ce-9399-771adaecdf0b|::unspecified::|Forest stream (15 min)|1|0|0|0|0|0.0|0.0|0.0|0.0|0.0|Web|US
2022-01-12|Wed. 12 Jan. 2022|7e5b58a9-3725-42ce-9399-771adaecdf0b|::unspecified::|Finding connection (5 min)|1|0|0|0|0|0.0|0.0|0.0|0.0|0.0|Web|US
2022-01-12|Wed. 12 Jan. 2022|7e5b58a9-3725-42ce-9399-771adaecdf0b|::unspecified::|Yoga for midline and core (5 min)|1|0|0|0|0|0.0|0.0|0.0|0.0|0.0|Web|US
2022-01-12|Wed. 12 Jan. 2022|7e5b58a9-3725-42ce-9399-771adaecdf0b|::unspecified::|Build better trust (4 min)|1|0|0|0|0|0.0|0.0|0.0|0.0|0.0|Web|US
2022-01-12|Wed. 12 Jan. 2022|7e5b58a9-3725-42ce-9399-771adaecdf0b|::unspecified::|Responding vs reacting (7 min)|1|0|0|0|0|0.0|0.0|0.0|0.0|0.0|Web|US
2022-01-12|Wed. 12 Jan. 2022|7e5b58a9-3725-42ce-9399-771adaecdf0b|::unspecified::|Beach bonfire (30 min)|1|0|0|0|0|0.0|0.0|0.0|0.0|0.0|Web|US
