#|Country,Other|TotalCases|NewCases|TotalDeaths|NewDeaths|TotalRecovered|NewRecovered|ActiveCases|Serious,Critical|Tot Cases/1M pop|Deaths/1M pop|TotalTests|"Tests/1M pop"|Population|Continent|1 Caseevery X ppl|1 Deathevery X ppl|1 Testevery X ppl|New Cases/1M pop|New Deaths/1M pop|Active Cases/1M pop
73|Oman|301,450|+151|4,038|+7|290,410|+266|7,002|81|57,375|769|1,550,000|295,009|5,254,075|Asia|17|1,301|3|29|1|1,333
74|libya|296,879|+1,625|4,076|+25|214,470|+1,270|78,333||42,547|584|1,475,718|211,493|6,977,636|Africa|24|1,712|5|233|4|11,226
75|Ethiopia|295,804||4,561||269,132||22,111|484|2,503|39|3,164,055|26,769|118,197,055|Africa|400|25,915|37|||187
76|Lithuania|294,086|+314|4,494|+6|276,188|+153|13,404|92|109,779|1,678|4,321,090|1,613,021|2,678,881|Europe|9|596|1|117|2|5,004
77|Egypt|286,352||16,671||235,864||33,817|90|2,739|159|3,068,679|29,357|104,528,784|Africa|365|6,270|34|||324
78|Bahrain|271,631||1,386||269,260||985|6|153,586|784|5,781,405|3,268,935|1,768,590|Asia|7|1,276|0|||557
79|Moldova|264,432||6,363||255,279||2,790|42|65,726|1,582|1,528,763|379,981|4,023,264|Europe|15|632|3|||693
80|Slovenia|263,664|+116|4,441|+1|255,725|+45|3,498|10|126,806|2,136|1,427,627|686,602|2,079,264|Europe|8|468|1|56|0.5|1,682
81|Armenia|237,885|+251|4,762|+10|224,493|+239|8,630||80,108|1,604|1,489,110|501,458|2,969,559|Asia|12|624|2|85|3|2,906
82|S. Korea|237,782|+1,416|2,222|+7|207,601|+1,325|27,959|399|4,633|43|12,694,029|247,353|51,319,513|Asia|216|23,096|4|28|0.1|545
83|Qatar|230,837||601||227,445||2,791|20|82,213|214|2,453,234|873,720|2,807,805|Asia|12|4,672|1|||994
84|Kenya|229,009||4,497||212,036||12,476|149|4,155|82|2,312,027|41,948|55,116,988|Africa|241|12,256|24|||226
85|Bosnia and Herzegovina|209,073||9,722||192,218||7,133||64,182|2,984|1,113,991|341,975|3,257,520|Europe|16|335|3|||2,190
86|Zambia|204,549||3,574||198,559||2,416|170|10,784|188|2,222,483|117,169|18,968,160|Africa|93|5,307|9|||127
87|Mongolia|195,250|+1,566|902|+4|184,559|+1,674|9,789|192|58,487|270|3,647,780|1,092,691|3,338,345|Asia|17|3,701|1|469|1|2,932
88|Algeria|191,583||5,004||129,950||56,629|37|4,281|112|230,861|5,159|44,751,444|Africa|234|8,943|194|||1,265
89|Nigeria|187,023||2,268||168,455||16,300|11|882|11|2,648,684|12,497|211,940,963|Africa|1,133|93,448|80|||77
90|Kyrgyzstan|174,148|+228|2,489|+5|166,702|+394|4,957|131|26,201|374|1,631,560|245,472|6,646,631|Asia|38|2,670|4|34|0.8|746
91|North Macedonia|168,872||5,668||152,098||11,106||81,061|2,721|1,108,429|532,061|2,083,276|Europe|12|368|2|||5,331
92|Afghanistan|152,583||7,076||108,262||37,245|1,124|3,822|177|748,284|18,743|39,924,312|Asia|262|5,642|53|||933
