#|Country,Other|TotalCases|NewCases|TotalDeaths|NewDeaths|TotalRecovered|NewRecovered|ActiveCases|Serious,Critical|Tot Cases/1M pop|Deaths/1M pop|TotalTests|"Tests/1M pop"|Population|Continent|1 Caseevery X ppl|1 Deathevery X ppl|1 Testevery X ppl|New Cases/1M pop|New Deaths/1M pop|Active Cases/1M pop
134|Martinique|31,369||243||104||31,022|1|83,666|648|292,898|781,201|374,933|North America|12|1,543|1|||82,740
135|Guinea|28,647|+123|308|+2|26,023|+139|2,316|24|2,116|23|528,868|39,068|13,537,073|Africa|473|43,952|26|9|0.1|171
136|Suriname|27,371|+161|697|+1|23,196|+110|3,478|12|46,186|1,176|99,154|167,315|592,620|South America|22|850|6|272|2|5,869
137|Syria|26,799|+80|1,964|+5|22,262|+19|2,573||1,490|109|103,566|5,759|17,983,437|Asia|671|9,157|174|4|0.3|143
138|Gabon|25,667||165||25,437||65|5|11,231|72|1,054,727|461,510|2,285,382|Africa|89|13,851|2|||28
139|Guyana|24,224|+177|591||22,318|+66|1,315|15|30,629|747|252,800|319,644|790,879|South America|33|1,338|3|224||1,663
140|Haiti|20,719||583||16,679||3,457||1,792|50|105,799|9,152|11,560,776|North America|558|19,830|109|||299
141|Mayotte|19,664||175||2,964||16,525|1|70,156|624|176,919|631,200|280,290|Africa|14|1,602|2|||58,957
142|Togo|19,491|+363|172||16,054|+109|3,265||2,293|20|444,818|52,337|8,499,104|Africa|436|49,413|19|43||384
143|Seychelles|19,390||101||18,650||639||195,778|1,020|21,504|217,122|99,041|Africa|5|981|5|||6,452
144|Papua New Guinea|17,832||192||17,547||93|7|1,951|21|150,870|16,507|9,139,706|Australia/Oceania|513|47,603|61|||10
145|Bahamas|16,962||330||13,539||3,093|16|42,669|830|128,688|323,724|397,524|North America|23|1,205|3|||7,781
146|Somalia|16,535||897||8,010||7,628||1,008|55|186,064|11,348|16,396,364|Africa|992|18,279|88|||465
147|Tajikistan|16,423|+49|124||16,174|+68|125||1,679|13|||9,781,011|Asia|596|78,879||5||13
148|Taiwan|15,916|+10|828|+1|14,847|+31|241||667|35|4,622,196|193,673|23,865,938|Asia|1,499|28,824|5|0.4|0.04|10
149|Belize|15,415||351||14,149||915|6|37,983|865|206,689|509,292|405,836|North America|26|1,156|2|||2,255
150|Andorra|14,988||129||14,729||130|7|193,628|1,667|193,595|2,501,034|77,406|Europe|5|600|0|||1,679
151|Curaçao|14,888||136||14,126||626|4|90,308|825|220,413|1,336,987|164,858|North America|11|1,212|1|-6.07||3,797
152|Mali|14,749|+9|536|+1|14,050|+5|163||705|26|369,738|17,680|20,912,567|Africa|1,418|39,016|57|0.4|0.05|8
153|Lesotho|14,371|+1|400||6,763||7,208||6,648|185|146,215|67,642|2,161,598|Africa|150|5,404|15|0.5||3,335
154|Timor-Leste|13,981|+281|46|+4|10,847|+71|3,088||10,379|34|169,501|125,837|1,346,993|Asia|96|29,282|8|209|3|2,293
155|Aruba|13,948|+77|126|+2|13,029|+337|793|14|130,011|1,174|177,885|1,658,091|107,283|North America|8|851|1|718|19|7,392
156|Burkina Faso|13,699|+4|171||13,447||81||636|8|208,443|9,671|21,553,744|Africa|1,573|126,045|103|0.2||4
157|Congo|13,398||179||12,421||798||2,362|32|188,207|33,180|5,672,315|Africa|423|31,689|30|||141
158|Laos|12,164|+411|11||4,604||7,549||1,645|1|358,190|48,432|7,395,697|Asia|608|672,336|21|56||1,021
159|Hong Kong|12,053|+3|212||11,762|+1|79||1,593|28|22,744,169|3,005,992|7,566,277|Asia|628|35,690|0|0.4||10
160|Djibouti|11,690||157||11,522||11||11,639|156|202,259|201,383|1,004,349|Africa|86|6,397|5|||11
161|CAR|11,251||99||6,859||4,293|2|2,284|20|60,228|12,228|4,925,267|Africa|438|49,750|82|||872
162|South Sudan|11,243||120||10,917||206||991|11|204,344|18,015|11,343,144|Africa|1,009|94,526|56|||18
163|Burundi|10,791||38||773||9,980||878|3|345,742|28,126|12,292,472|Africa|1,139|323,486|36|||812
164|Nicaragua|10,672||198||4,225||6,249||1,589|29|||6,714,287|North America|629|33,911||||931
165|Channel Islands|10,204||93||9,618||493||58,080|529|785,170|4,469,116|175,688|Europe|17|1,889|0|||2,806
166|Benin|10,183||119||8,402|+266|1,662|5|816|10|604,310|48,408|12,483,649|Africa|1,226|104,905|21|||133
167|Iceland|10,053|+73|30||8,921|+108|1,102|20|29,244|87|939,457|2,732,831|343,767|Europe|34|11,459|0|212||3,206
168|Gambia|9,364||285||8,763||316|3|3,755|114|101,817|40,830|2,493,705|Africa|266|8,750|24|||127
169|Equatorial Guinea|9,049||123||8,803||123||6,218|85|187,519|128,858|1,455,232|Africa|161|11,831|8|||85
170|Yemen|7,487|+33|1,416|+1|4,622|+17|1,449|23|245|46|214,742|7,024|30,572,294|Asia|4,083|21,591|142|1|0.03|47
171|Mauritius|7,070||22||1,854||5,194||5,549|17|358,675|281,496|1,274,175|Africa|180|57,917|4|||4,076
172|Saint Lucia|6,955||97||5,660||1,198|4|37,679|526|64,870|351,439|184,584|North America|27|1,903|3|||6,490
173|Eritrea|6,620|+2|37||6,560||23||1,838|10|23,693|6,577|3,602,282|Africa|544|97,359|152|0.6||6
174|Sierra Leone|6,347||121||4,335||1,891||778|15|160,729|19,694|8,161,354|Africa|1,286|67,449|51|||232
175|Isle of Man|6,274|+42|37||5,765|+73|472|1|73,341|433|83,753|979,041|85,546|Europe|14|2,312|1|491||5,517
176|Niger|5,767|+6|196||5,485|+1|86||229|8|138,966|5,515|25,199,159|Africa|4,370|128,567|181|0.2||3
177|Guinea-Bissau|5,496|+80|99||4,557|+36|840|4|2,720|49|88,742|43,914|2,020,829|Africa|368|20,412|23|40||416
178|liberia|5,459||148||2,715||2,596|2|1,051|29|128,246|24,697|5,192,697|Africa|951|35,086|40|||500
179|Gibraltar|5,281|+12|96||5,038|+1|147|6|156,799|2,850|329,777|9,791,479|33,680|Europe|6|351|0|356||4,365
180|San Marino|5,231||90||5,077||64|1|153,799|2,646|73,543|2,162,266|34,012|Europe|7|378|0|||1,882
181|Chad|4,985||174||4,805||6||294|10|136,789|8,065|16,960,608|Africa|3,402|97,475|124|||0.4
182|Barbados|4,640|+12|48||4,454|+10|138||16,124|167|247,193|858,977|287,776|North America|62|5,995|1|42||480
183|Comoros|4,048||147||3,888||13||4,545|165|||890,650|Africa|220|6,059||||15
184|Sint Maarten|3,394||42||3,037||315|2|78,149|967|37,841|871,310|43,430|North America|13|1,034|1|||7,253
185|Liechtenstein|3,219|+10|59||3,076||84|3|84,150|1,542|49,126|1,284,239|38,253|Europe|12|648|1|261||2,196
186|Monaco|3,129|+8|33||2,990|+10|106|6|79,097|834|54,960|1,389,317|39,559|Europe|13|1,199|1|202||2,680
187|Saint Martin|3,094||41||1,399||1,654|7|78,496|1,040|52,859|1,341,054|39,416|North America|13|961|1|||41,963
188|New Zealand|2,992|+24|26||2,873||93|5|598|5|2,653,699|530,517|5,002,100|Australia/Oceania|1,672|192,388|2|5||19
189|Bermuda|2,750|+35|33||2,593|+24|124|1|44,344|532|436,268|7,034,879|62,015|North America|23|1,879|0|564||2,000
190|Turks and Caicos|2,607|+6|19||2,503|+1|85|1|66,314|483|94,789|2,411,136|39,313|North America|15|2,069|0|153||2,162
191|Bhutan|2,585|+5|3||2,553|+6|29||3,309|4|798,573|1,022,130|781,283|Asia|302|260,428|1|6||37
192|British Virgin Islands|2,568||37||2,500||31|7|84,307|1,215|77,252|2,536,179|30,460|North America|12|823|0|||1,018
193|Sao Tome and Principe|2,524|+7|37||2,403|+2|84||11,279|165|14,689|65,639|223,786|Africa|89|6,048|15|31||375
194|St. Vincent Grenadines|2,320||12||2,261||47|2|20,837|108|64,768|581,703|111,342|North America|48|9,279|2|||422
195|Caribbean Netherlands|1,768|+1|17||1,721||30||66,714|641|20,707|781,367|26,501|North America|15|1,559|1|38||1,132
196|Antigua and Barbuda|1,490|+43|43||1,299|+14|148|9|15,073|435|17,409|176,110|98,853|North America|66|2,299|6|435||1,497
197|St. Barth|1,489||2||462||1,025||150,237|202|38,369|3,871,355|9,911|North America|7|4,956|0|||103,420
198|Brunei|1,455|+122|3||355|+4|1,097||3,290|7|195,607|442,300|442,250|Asia|304|147,417|2|276||2,480
199|Tanzania|1,367||50||183||1,134|7|22|0.8|||61,664,623|Africa|45,109|1,233,292||||18
200|Dominica|1,323|+370|1|+1|549|+171|773||18,327|14|41,298|572,074|72,190|North America|55|72,190|2|5,125|14|10,708
201|Faeroe Islands|995||2||988||5||20,275|41|396,000|8,069,282|49,075|Europe|49|24,538|0|||102
202|Saint Kitts and Nevis|792|+19|3||596||193|1|14,768|56|28,471|530,898|53,628|North America|68|17,876|2|354||3,599
203|Diamond Princess|712||13||699||0|||||||||||||
204|Cayman Islands|663|+5|2||649|+1|12||9,955|30|124,033|1,862,329|66,601|North America|100|33,301|1|75||180
205|Wallis and Futuna|445||7||438||0||40,403|636|20,508|1,861,994|11,014|Australia/Oceania|25|1,573|1|||
206|Greenland|298|+2|||212|+5|86|2|5,239||54,121|951,461|56,882|North America|191||1|35||1,512
207|Grenada|212|+16|1||182|+4|29||1,874|9|54,254|479,627|113,117|North America|534|113,117|2|141||256
208|Anguilla|166|+12|||135|+3|31||10,953||37,111|2,448,601|15,156|North America|91||0|792||2,045
209|New Caledonia|135|+1|||58||77||468||41,120|142,469|288,624|Australia/Oceania|2,138||7|3||267
210|Falkland Islands|66||||63||3||18,359||7,409|2,060,918|3,595|South America|54||0|||834
211|Macao|63||||59||4||96||4,739|7,187|659,409|Asia|10,467||139|||6
212|Saint Pierre Miquelon|30||||30||0||5,207||7,800|1,353,697|5,762|North America|192||1|||
213|Vatican City|27||||27||0||33,624||||803|Europe|30|||||
214|Montserrat|25||1||20||4||5,005|200|1,408|281,882|4,995|North America|200|4,995|4|||801
215|Solomon Islands|20||||20||0||28||4,500|6,374|706,011|Australia/Oceania|35,301||157|||
216|Western Sahara|10||1||8||1||16|2|||614,016|Africa|61,402|614,016||||2
217|MS Zaandam|9||2||7||0|||||||||||||
218|Vanuatu|4||1||3||0||13|3|23,000|72,947|315,297|Australia/Oceania|78,824|315,297|14|||
219|Marshall Islands|4||||4||0||67||||59,645|Australia/Oceania|14,911|||||
220|Samoa|3||||3||0||15||||199,916|Australia/Oceania|66,639|||||
221|Saint Helena|2||||2||0||328||||6,098|Africa|3,049|||||
222|Micronesia|1||||1||0||9||||116,396|Australia/Oceania|116,396|||||
