datetime|datetime_friendly|prop28|event110|cm300007853_5ebcb03b9005f6248a063d1f|cm300007853_5ebcb00d9005f6248a063d1b|cm300007853_5ebcafaa04dd2673d5b06ecb|evar54|evar55|evar80
2021-06-12 00:00:00|Sat. 12 Jun. 2021|6c4c8c9a-4e9c-465a-a83c-b17bf4153f06|0|0|0|0|||
2021-06-12 00:00:00|Sat. 12 Jun. 2021|07ba3051-c1a5-4609-b8b8-98507e842429|0|0|0|0|||
2021-06-12 00:00:00|Sat. 12 Jun. 2021|fa1d4b8e-81c8-4046-bee6-29b0c2d96945|0|0|0|0|||
2021-06-12 00:00:00|Sat. 12 Jun. 2021|8758abbf-9f06-466a-89e3-f70970d4337a|0|0|0|0|||
2021-06-12 00:00:00|Sat. 12 Jun. 2021|12d4234f-38af-44a6-a556-2ae22336028d|0|0|0|0|||
2021-06-12 00:00:00|Sat. 12 Jun. 2021|1a4f2fc1-babe-4506-ae3b-07c3cd9189d0|0|0|0|0|||
2021-06-12 00:00:00|Sat. 12 Jun. 2021|5528084e-e906-460e-87c0-b3637633e596|0|0|0|0|||
2021-06-12 00:00:00|Sat. 12 Jun. 2021|OIAM_89d66c04-1f6a-4104-9365-956445097451|0|0|0|0|||
2021-06-12 00:00:00|Sat. 12 Jun. 2021|6d0eeadc-cfe4-4634-8b5b-40d2471f8891|0|0|0|0|||
2021-06-12 00:00:00|Sat. 12 Jun. 2021|e7af32d1-f450-46cd-a712-59e3771fe31e|0|0|0|0|||
2021-06-12 00:00:00|Sat. 12 Jun. 2021|c120f5e3-dc3b-4fdf-8c99-dbed1f826f5f|0|0|0|0|||
2021-06-12 00:00:00|Sat. 12 Jun. 2021|f4ce8b02-9936-4616-8d40-1f7da9cc7d0d|0|0|0|0|||
2021-06-12 00:00:00|Sat. 12 Jun. 2021|OIAM_a0021b3e-f68b-4e33-b4b0-4c7569796f64|0|0|0|0|||
2021-06-12 00:00:00|Sat. 12 Jun. 2021|7ab705bc-f04a-4e9e-ac7a-5a3f89e01366|0|0|0|0|||
2021-06-12 00:00:00|Sat. 12 Jun. 2021|52a68d6e-da16-4348-83a8-1bcc3d577ab7|0|0|0|0|||
2021-06-12 00:00:00|Sat. 12 Jun. 2021|15faa9d7-4e20-451f-aa35-0c3357158129|1|0|0|0|Rewards|ER_EXELON|US
2021-06-12 00:00:00|Sat. 12 Jun. 2021|OIAM_fa030e1c-597a-40a1-919a-ae000475cd32|0|0|0|0|||
2021-06-12 00:00:00|Sat. 12 Jun. 2021|OIAM_916697fb-0e92-4280-b42f-8bc9fdbb49bb|0|0|0|0|||
2021-06-12 00:00:00|Sat. 12 Jun. 2021|793002f1-deac-4a81-89d6-bd320119b0a6|0|0|0|0|||
2021-06-12 00:00:00|Sat. 12 Jun. 2021|OIAM_9174794c-4b56-40e4-8ba2-3842adbd09b0|0|0|0|0|||
