date|user_id|platform|market|content_type|content_id|content_name|metric_name|metric_value|guid
2022-01-12|ae8df877-64a9-40ac-8f38-08c231ef5b78|Web|US|VIDEO|6260643520001|::unspecified::|Pageviews|1|
2022-01-12|ae8df877-64a9-40ac-8f38-08c231ef5b78|Web|US|VIDEO|6195697702001|::unspecified::|Pageviews|1|
2022-01-12|ae8df877-64a9-40ac-8f38-08c231ef5b78|Web|US|VIDEO|6195665354001|::unspecified::|Pageviews|1|
2022-01-12|ae8df877-64a9-40ac-8f38-08c231ef5b78|Web|US|VIDEO|6260642089001|::unspecified::|Pageviews|1|
2022-01-12|ae8df877-64a9-40ac-8f38-08c231ef5b78|Web|US|VIDEO|6256962251001|::unspecified::|Pageviews|1|
2022-01-12|ae8df877-64a9-40ac-8f38-08c231ef5b78|Web|US|VIDEO|6199250863001|::unspecified::|Pageviews|1|
2022-01-12|ae8df877-64a9-40ac-8f38-08c231ef5b78|Web|US|VIDEO|6249001526001|::unspecified::|Pageviews|1|
2022-01-12|ae8df877-64a9-40ac-8f38-08c231ef5b78|Web|US|VIDEO|6199257753001|::unspecified::|Pageviews|1|
2022-01-12|ae8df877-64a9-40ac-8f38-08c231ef5b78|Web|US|VIDEO|6260641996001|::unspecified::|Pageviews|1|
2022-01-12|ae8df877-64a9-40ac-8f38-08c231ef5b78|Web|US|VIDEO|6154771565001|::unspecified::|Pageviews|1|
2022-01-12|ae8df877-64a9-40ac-8f38-08c231ef5b78|Web|US|VIDEO|6260643521001|::unspecified::|Pageviews|1|
2022-01-12|ae8df877-64a9-40ac-8f38-08c231ef5b78|Web|US|VIDEO|6195723680001|::unspecified::|Pageviews|1|
2022-01-12|ae8df877-64a9-40ac-8f38-08c231ef5b78|Web|US|VIDEO|6195708367001|::unspecified::|Pageviews|1|
2022-01-12|ae8df877-64a9-40ac-8f38-08c231ef5b78|Web|US|VIDEO|6245783467001|::unspecified::|Pageviews|1|
2022-01-12|ae8df877-64a9-40ac-8f38-08c231ef5b78|Web|US|VIDEO|6200654447001|::unspecified::|Pageviews|1|
2022-01-12|ae8df877-64a9-40ac-8f38-08c231ef5b78|Web|US|VIDEO|6276934133001|::unspecified::|Pageviews|1|
2022-01-12|ae8df877-64a9-40ac-8f38-08c231ef5b78|Web|US|VIDEO|6203296712001|::unspecified::|Pageviews|1|
2022-01-12|ae8df877-64a9-40ac-8f38-08c231ef5b78|Web|US|VIDEO|6276936703001|::unspecified::|Pageviews|1|
2022-01-12|ae8df877-64a9-40ac-8f38-08c231ef5b78|Web|US|VIDEO|6276948408001|::unspecified::|Pageviews|1|
2022-01-12|ae8df877-64a9-40ac-8f38-08c231ef5b78|Web|US|VIDEO|6195711542001|::unspecified::|Pageviews|1|
2022-01-12|ae8df877-64a9-40ac-8f38-08c231ef5b78|Web|US|VIDEO|6203301411001|::unspecified::|Pageviews|1|
2022-01-12|ae8df877-64a9-40ac-8f38-08c231ef5b78|Web|US|VIDEO|6260641889001|::unspecified::|Pageviews|1|
2022-01-12|ae8df877-64a9-40ac-8f38-08c231ef5b78|Web|US|VIDEO|6195349700001|::unspecified::|Pageviews|1|
2022-01-12|ae8df877-64a9-40ac-8f38-08c231ef5b78|Web|US|VIDEO|6276935266001|::unspecified::|Pageviews|1|
2022-01-12|ae8df877-64a9-40ac-8f38-08c231ef5b78|Web|US|VIDEO|6276936646001|::unspecified::|Pageviews|1|
2022-01-12|ae8df877-64a9-40ac-8f38-08c231ef5b78|Web|US|VIDEO|6276935358001|::unspecified::|Pageviews|1|
2022-01-12|ae8df877-64a9-40ac-8f38-08c231ef5b78|Web|US|VIDEO|6162816985001|::unspecified::|Pageviews|1|
2022-01-12|ae8df877-64a9-40ac-8f38-08c231ef5b78|Web|US|VIDEO|6195690745001|::unspecified::|Pageviews|1|
2022-01-12|ae8df877-64a9-40ac-8f38-08c231ef5b78|Web|US|VIDEO|6199261898001|::unspecified::|Pageviews|1|
2022-01-12|ae8df877-64a9-40ac-8f38-08c231ef5b78|Web|US|VIDEO|6276935011001|::unspecified::|Pageviews|1|
2022-01-12|ae8df877-64a9-40ac-8f38-08c231ef5b78|Web|US|VIDEO|6276933212001|::unspecified::|Pageviews|1|
