date|user_id|market|platform|PageName|Content_Type|Content_Name|EventName|metric_value|guid
2022-01-12|32199f55-1bd2-41d4-9346-ff77b6e95fda|US|Web|::unspecified::|Video|Cardio challenge: level 3 (8 min)|Video 25%|1|
2022-01-12|32199f55-1bd2-41d4-9346-ff77b6e95fda|US|Web|::unspecified::|Video|Anger (5 min)|Video 25%|1|
2022-01-12|7776ae35-b8ad-45bc-a23b-87b5d8dc5523|US|Web|::unspecified::|Video|Finding connection (5 min)|Video 25%|1|
2022-01-12|7776ae35-b8ad-45bc-a23b-87b5d8dc5523|US|Web|::unspecified::|Video|Responding vs reacting (7 min)|Video 25%|1|
2022-01-12|7776ae35-b8ad-45bc-a23b-87b5d8dc5523|US|Web|::unspecified::|Video|Stepping out of the story (5 min)|Video 25%|1|
2022-01-12|7776ae35-b8ad-45bc-a23b-87b5d8dc5523|US|Web|::unspecified::|Video|Forget and forgive (8 min)|Video 25%|1|
2022-01-12|7776ae35-b8ad-45bc-a23b-87b5d8dc5523|US|Web|::unspecified::|Video|How to find purpose at any age (5 min)|Video 25%|1|
2022-01-12|7776ae35-b8ad-45bc-a23b-87b5d8dc5523|US|Web|::unspecified::|Video|Dealing with the hardest times (5 min)|Video 25%|1|
2022-01-12|7776ae35-b8ad-45bc-a23b-87b5d8dc5523|US|Web|::unspecified::|Video|Growth in resilience (8 min)|Video 25%|1|
2022-01-12|7776ae35-b8ad-45bc-a23b-87b5d8dc5523|US|Web|::unspecified::|Video|You’re not alone if you’re lonely (5 min)|Video 25%|1|
2022-01-12|7776ae35-b8ad-45bc-a23b-87b5d8dc5523|US|Web|::unspecified::|Video|"Stop playing the ""compare game"" (5 min)"|Video 25%|1|
2022-01-12|7776ae35-b8ad-45bc-a23b-87b5d8dc5523|US|Web|::unspecified::|Video|Anxiety (15 min)|Video 25%|1|
2022-01-12|7776ae35-b8ad-45bc-a23b-87b5d8dc5523|US|Web|::unspecified::|Video|Living a centered life (6 min)|Video 25%|1|
2022-01-12|7776ae35-b8ad-45bc-a23b-87b5d8dc5523|US|Web|::unspecified::|Video|Building self-compassion (8 min)|Video 25%|1|
2022-01-12|7776ae35-b8ad-45bc-a23b-87b5d8dc5523|US|Web|::unspecified::|Video|Why spreading kindness matters (3 min)|Video 25%|1|
2022-01-12|7776ae35-b8ad-45bc-a23b-87b5d8dc5523|US|Web|::unspecified::|Video|Anger (15 min)|Video 25%|1|
2022-01-12|7776ae35-b8ad-45bc-a23b-87b5d8dc5523|US|Web|::unspecified::|Video|Building resilience (6 min)|Video 25%|1|
2022-01-12|cf81d13b-8d5c-4d77-9cb2-33d33e9de4a5|US|Web|::unspecified::|Video|Abdominal breathing (5 min)|Video 25%|1|
2022-01-12|cf81d13b-8d5c-4d77-9cb2-33d33e9de4a5|US|Web|::unspecified::|Video|Ease your COVID-19 transition (5 min)|Video 25%|1|
2022-01-12|cf81d13b-8d5c-4d77-9cb2-33d33e9de4a5|US|Web|::unspecified::|Video|Let confidence lead your parent-teacher meeting (3 min)|Video 25%|1|
